12:09:37.564 [main] INFO  tc_Tr.SettingsPage_TR - Verify User is able to add password
12:09:42.764 [main] INFO  tc_Tr.SettingsPage_TR - Verify User is able to login by clicking on Login Button
12:09:48.039 [main] INFO  tc_Tr.SettingsPage_TR - TC-01 --> Verify options are displaying by clicking on profile icon
12:09:53.158 [main] INFO  tc_Tr.SettingsPage_TR - TC-02 --> Verify user is navigate to their profile page by clicking on my profile
12:09:58.416 [main] INFO  tc_Tr.SettingsPage_TR - TC-03 --> Verify user is navigate to the settings page by clicking on settings
12:10:03.610 [main] INFO  tc_Tr.SettingsPage_TR - TC-04 --> Verify user is able to turn off Blog post notification settings
12:10:33.605 [main] INFO  org.testng.internal.Utils - [TestNG] Running:
  C:\Users\INX\OneDrive\Documents\My Automation Learning\TourWitDemo\testng.xml

12:10:33.680 [main] INFO  tc_Tr.SettingsPage_TR - >>> @BeforeClass executed, initializing driver with browser: chrome
12:10:42.969 [main] INFO  tc_Tr.SettingsPage_TR - Verify User is able to add email
12:10:48.243 [main] INFO  tc_Tr.SettingsPage_TR - Verify User is able to add password
12:10:53.446 [main] INFO  tc_Tr.SettingsPage_TR - Verify User is able to login by clicking on Login Button
12:10:58.733 [main] INFO  tc_Tr.SettingsPage_TR - TC-01 --> Verify options are displaying by clicking on profile icon
12:11:03.817 [main] INFO  tc_Tr.SettingsPage_TR - TC-02 --> Verify user is navigate to their profile page by clicking on my profile
12:11:09.039 [main] INFO  tc_Tr.SettingsPage_TR - TC-03 --> Verify user is navigate to the settings page by clicking on settings
12:11:14.247 [main] INFO  tc_Tr.SettingsPage_TR - TC-04 --> Verify user is able to turn off Blog post notification settings
12:13:32.619 [main] INFO  org.testng.internal.Utils - [TestNG] Running:
  C:\Users\INX\OneDrive\Documents\My Automation Learning\TourWitDemo\testng.xml

12:13:32.678 [main] INFO  tc_Tr.SettingsPage_TR - >>> @BeforeClass executed, initializing driver with browser: chrome
12:13:35.645 [main] INFO  tc_Tr.SettingsPage_TR - Verify User is able to add email
12:13:40.919 [main] INFO  tc_Tr.SettingsPage_TR - Verify User is able to add password
12:13:46.140 [main] INFO  tc_Tr.SettingsPage_TR - Verify User is able to login by clicking on Login Button
12:13:51.394 [main] INFO  tc_Tr.SettingsPage_TR - TC-01 --> Verify options are displaying by clicking on profile icon
12:13:56.484 [main] INFO  tc_Tr.SettingsPage_TR - TC-02 --> Verify user is navigate to their profile page by clicking on my profile
12:14:01.720 [main] INFO  tc_Tr.SettingsPage_TR - TC-03 --> Verify user is navigate to the settings page by clicking on settings
12:14:06.979 [main] INFO  tc_Tr.SettingsPage_TR - TC-04 --> Verify user is able to turn off Blog post notification settings
12:21:42.873 [main] INFO  org.testng.internal.Utils - [TestNG] Running:
  C:\Users\INX\OneDrive\Documents\My Automation Learning\TourWitDemo\testng.xml

12:21:42.941 [main] INFO  tc_Tr.SettingsPage_TR - >>> @BeforeClass executed, initializing driver with browser: chrome
12:21:46.703 [main] INFO  tc_Tr.SettingsPage_TR - Verify User is able to add email
12:21:51.931 [main] INFO  tc_Tr.SettingsPage_TR - Verify User is able to add password
12:21:57.115 [main] INFO  tc_Tr.SettingsPage_TR - Verify User is able to login by clicking on Login Button
12:22:02.326 [main] INFO  tc_Tr.SettingsPage_TR - TC-01 --> Verify options are displaying by clicking on profile icon
12:22:07.430 [main] INFO  tc_Tr.SettingsPage_TR - TC-02 --> Verify user is navigate to their profile page by clicking on my profile
12:22:12.645 [main] INFO  tc_Tr.SettingsPage_TR - TC-03 --> Verify user is navigate to the settings page by clicking on settings
12:22:17.837 [main] INFO  tc_Tr.SettingsPage_TR - TC-04 --> Verify user is able to turn on / off New Blog post notification settings
12:22:23.165 [main] INFO  tc_Tr.SettingsPage_TR - TC-05 --> Verify user is able to turn on /off New Forum Post notification settings
12:22:28.524 [main] INFO  tc_Tr.SettingsPage_TR - TC-06 --> Verify user is able to turn on /off Blog Likes notification settings
12:22:33.834 [main] INFO  tc_Tr.SettingsPage_TR - TC-07 --> Verify user is able to turn on /off Blog Comments notification settings
12:22:39.154 [main] INFO  tc_Tr.SettingsPage_TR - TC-08 --> Verify user is able to turn on /off Forum Comments notification settings
12:22:44.460 [main] INFO  tc_Tr.SettingsPage_TR - TC-09 --> Verify user is able to turn on /off Forum Likes notification settings
12:22:49.739 [main] INFO  tc_Tr.SettingsPage_TR - TC-10 --> Verify user is able to turn on /off Comments Like notification settings
12:22:55.083 [main] INFO  tc_Tr.SettingsPage_TR - TC-11 --> Verify user is able to turn on /off Comments Replies notification settings
12:23:49.070 [main] INFO  org.testng.internal.Utils - [TestNG] Running:
  C:\Users\INX\OneDrive\Documents\My Automation Learning\TourWitDemo\testng.xml

12:23:49.474 [main] INFO  tc_Tr.SettingsPage_TR - >>> @BeforeClass executed, initializing driver with browser: chrome
