16:28:19.710 [main] INFO  tc_Tr.Forums_Tr - TC-03 --> Verify User is able to login by clicking on Login Button
16:28:26.929 [main] INFO  tc_Tr.Forums_Tr - TC-01 --> Verify User is navigate to the forum page by clicking on Forum 
16:28:27.339 [main] INFO  tc_Tr.Forums_Tr - TC-01 --> Verify User is navigate to the All post
16:28:32.914 [main] INFO  tc_Tr.Forums_Tr - TC-02 --> Verify User is able to search the specific forum
16:28:32.914 [main] INFO  tc_Tr.Forums_Tr - TC-03 --> Verify User is forum is displaying according to searching 
16:28:32.914 [main] INFO  tc_Tr.Forums_Tr - TC-04 --> Verify User is able to view searched forum
16:28:42.335 [main] INFO  tc_Tr.Forums_Tr - TC-05 --> Verify User is able to add text in comment field
16:28:42.335 [main] INFO  tc_Tr.Forums_Tr - TC-06 --> Verify Emoji picker is getting open by clicking on Emoji icon
16:28:42.335 [main] INFO  tc_Tr.Forums_Tr - TC-07 --> Verify User is able to search specific emoji 
16:28:42.335 [main] INFO  tc_Tr.Forums_Tr - TC-08 --> Verify selected emoji is displaying in the comment text field
16:28:53.006 [main] INFO  tc_Tr.Forums_Tr - TC-09 --> Verify Comment is getting send to the specific forum by clicking on send icon
